Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.;1788 - Monetary base - Monetary base (end-of-period balance) - c.m.u. (thousand)
07/2020;0.36 ;423,674,702
08/2020;0.24 ;402,707,438
09/2020;0.64 ;408,736,990
10/2020;0.86 ;427,820,406
11/2020;0.89 ;417,679,545
12/2020;1.35 ;431,536,653
01/2021;0.25 ;433,590,499
02/2021;0.86 ;411,411,002
03/2021;0.93 ;405,630,283
04/2021;0.31 ;420,148,020
05/2021;0.83 ;403,527,996
06/2021;0.53 ;422,212,123
07/2021;0.96 ;427,958,210
08/2021;0.87 ;406,329,194
09/2021;1.16 ;403,676,335
10/2021;1.25 ;396,208,882
11/2021;0.95 ;413,271,664
12/2021;0.73 ;409,183,519
01/2022;0.54 ;417,976,196
02/2022;1.01 ;402,172,008
03/2022;1.62 ;385,897,343
04/2022;1.06 ;396,510,494
05/2022;0.47 ;398,190,743
06/2022;0.67 ;407,168,900
07/2022;-0.68 ;389,598,010
08/2022;-0.36 ;395,354,595
09/2022;-0.29 ;393,440,715
10/2022;0.59 ;398,583,288
11/2022;0.41 ;391,532,638
12/2022;0.62 ;419,659,918
01/2023;0.53 ;413,489,780
02/2023;0.84 ;403,569,746
03/2023;0.71 ;413,314,387
04/2023;0.61 ;410,350,182
05/2023;0.23 ;396,348,679
06/2023;-0.08 ;403,118,875
07/2023;0.12 ;394,874,228
08/2023;0.23 ;399,782,374
09/2023;0.26 ;404,466,849
10/2023;0.24 ;397,427,080
11/2023;0.28 ;405,550,140
12/2023;0.56 ;422,718,628
01/2024;0.42 ;404,748,204
02/2024;0.83 ;414,700,663
03/2024;0.16 ;417,795,886
04/2024;0.38 ;406,260,051
05/2024;0.46 ;436,589,996
06/2024;0.21 ;436,902,447
07/2024;0.38 ;432,838,785
08/2024;-0.02 ;434,608,930
09/2024;0.44 ;429,858,545
10/2024;0.56 ;437,743,879
11/2024;0.39 ;436,902,962
12/2024;0.52 ;451,213,588
01/2025;0.16 ;439,878,595
02/2025;1.31 ;440,922,743
03/2025;0.56 ;443,277,392
04/2025;0.43 ;435,064,403
05/2025;0.26 ;452,083,273
06/2025;0.24 ;451,010,163
07/2025;0.26 ;443,670,744
08/2025;-0.11 ;438,857,418
09/2025;0.48 ;429,700,158
10/2025;0.09 ;431,878,281
11/2025;0.18 ;430,543,036
12/2025;0.33 ;447,096,654
01/2026;0.33 ;450,381,594
02/2026;0.70 ;449,226,409
03/2026;0.88 ;438,897,105
04/2026;0.67 ;437,887,656
05/2026;0.58 ;-
Source;IBGE;BCB-DSTAT
